Material,Lay-up,"Vf, %",Resin Type,Resin,0 Deg fabric name,45 Deg fabric name,45 Deg fabric %,90 Deg fabric name,90 Deg fabric %,other %,"Thickness, mm",Cure / Post Cure,Process,Test #,Coupon,"Max. Stress, MPa","Min. Stress, MPa",R-value,"Freq., Hz or mm/s","E, GPa (0.1-0.3%)",Max. % Strain,Cycles,"Moisture Gain, %",Contractor report,Conference Paper
CE1,[V(+/-45)g/0c]S,40.4,Epoxy,Pro-set INF 114/211,Zoltek UD600,E-BX-1700,42.2 G,0,0,0.2 G,2.87,8h @ 60C,,,CE1-100-L,683.0,,,0.0254,60.9,1.13,1.0,0.0,,
CE1,[V(+/-45)g/0c]S,42.4,Epoxy,Pro-set INF 114/211,Zoltek UD600,E-BX-1700,42.2 G,0,0,0.2 G,2.74,8h @ 60C,,,CE1-102-L,827.0,,,0.0254,57.5,1.4,1.0,0.0,,
CE1,[V(+/-45)g/0c]S,39.3,Epoxy,Pro-set INF 114/211,Zoltek UD600,E-BX-1700,42.2 G,0,0,0.2 G,2.95,8h @ 60C,,,CE1-104-L,813.0,,,0.0254,63.0,1.43,1.0,0.0,,
CE1,[V(+/-45)g/0c]S,44.8,Epoxy,Pro-set INF 114/211,Zoltek UD600,E-BX-1700,42.2 G,0,0,0.2 G,2.59,8h @ 60C,,,CE1-106-L,735.0,,,0.0254,51.4,1.29,1.0,0.0,,
CE1,[V(+/-45)g/0c]S,45.5,Epoxy,Pro-set INF 114/211,Zoltek UD600,E-BX-1700,42.2 G,0,0,0.2 G,2.55,8h @ 60C,,,CE1-108-L,873.0,,,0.0254,47.6,1.65,1.0,0.0,,
CE1,[V(+/-45)g/0c]S,43.5,Epoxy,Pro-set INF 114/211,Zoltek UD600,E-BX-1700,42.2 G,0,0,0.2 G,2.67,8h @ 60C,,,CE1-118-L,690.0,69.0,0.1,1.0,56.1,1.25,12.0,0.0,,
CE1,[V(+/-45)g/0c]S,44.3,Epoxy,Pro-set INF 114/211,Zoltek UD600,E-BX-1700,42.2 G,0,0,0.2 G,2.62,8h @ 60C,,,CE1-114-L,690.0,69.0,0.1,1.0,56.3,1.24,4367.0,0.0,,
CE1,[V(+/-45)g/0c]S,42.1,Epoxy,Pro-set INF 114/211,Zoltek UD600,E-BX-1700,42.2 G,0,0,0.2 G,2.76,8h @ 60C,,,CE1-112-L,690.0,69.0,0.1,1.0,55.1,1.25,737.0,0.0,,
CE1,[V(+/-45)g/0c]S,44.1,Epoxy,Pro-set INF 114/211,Zoltek UD600,E-BX-1700,42.2 G,0,0,0.2 G,2.63,8h @ 60C,,,CE1-116-L,690.0,69.0,0.1,1.0,53.4,1.23,19538.0,0.0,,
CE1,[V(+/-45)g/0c]S,45.2,Epoxy,Pro-set INF 114/211,Zoltek UD600,E-BX-1700,42.2 G,0,0,0.2 G,2.57,8h @ 60C,,,CE1-110-L,629.0,62.9,0.1,1.0,57.4,1.1,130352.0,0.0,,
CE1,[V(+/-45)g/0c]S,42.4,Epoxy,Pro-set INF 114/211,Zoltek UD600,E-BX-1700,42.2 G,0,0,0.2 G,2.74,8h @ 60C,,,CE1-111-LW,794.0,,,0.0254,58.5,1.35,1.0,1.2,,
CE1,[V(+/-45)g/0c]S,42.7,Epoxy,Pro-set INF 114/211,Zoltek UD600,E-BX-1700,42.2 G,0,0,0.2 G,2.72,8h @ 60C,,,CE1-113-LW,740.0,,,0.0254,45.7,1.49,1.0,1.2,,
CE1,[V(+/-45)g/0c]S,42.4,Epoxy,Pro-set INF 114/211,Zoltek UD600,E-BX-1700,42.2 G,0,0,0.2 G,2.74,8h @ 60C,,,CE1-115-LW,748.0,,,0.0254,59.0,1.26,1.0,1.2,,
CE1,[V(+/-45)g/0c]S,40.9,Epoxy,Pro-set INF 114/211,Zoltek UD600,E-BX-1700,42.2 G,0,0,0.2 G,2.84,8h @ 60C,,,CE1-117-LW,789.0,,,0.0254,62.8,1.26,1.0,1.2,,
CE1,[V(+/-45)g/0c]S,44.8,Epoxy,Pro-set INF 114/211,Zoltek UD600,E-BX-1700,42.2 G,0,0,0.2 G,2.59,8h @ 60C,,,CE1-119-LW,866.0,,,0.0254,65.6,1.31,1.0,1.2,,
CE1,[V(+/-45)g/0c]S,41.0,Epoxy,Pro-set INF 114/211,Zoltek UD600,E-BX-1700,42.2 G,0,0,0.2 G,2.83,8h @ 60C,,,CE1-123-LW,655.0,65.5,0.1,1.0,54.6,1.15,27111.0,1.34,,
CE1,[V(+/-45)g/0c]S,42.4,Epoxy,Pro-set INF 114/211,Zoltek UD600,E-BX-1700,42.2 G,0,0,0.2 G,2.74,8h @ 60C,,,CE1-127-LW,672.0,67.2,0.1,1.0,55.1,1.17,298.0,1.34,,
CE1,[V(+/-45)g/0c]S,45.2,Epoxy,Pro-set INF 114/211,Zoltek UD600,E-BX-1700,42.2 G,0,0,0.2 G,2.57,8h @ 60C,,,CE1-125-LW,621.0,62.1,0.1,1.4,52.6,1.21,75333.0,1.34,,
CE1,[V(+/-45)g/0c]S,44.0,Epoxy,Pro-set INF 114/211,Zoltek UD600,E-BX-1700,42.2 G,0,0,0.2 G,2.64,8h @ 60C,,,CE1-121-LW,655.0,65.5,0.1,1.2,54.4,1.16,3137.0,1.34,,
CE1,[V(+/-45)g/0c]S,46.6,Epoxy,Pro-set INF 114/211,Zoltek UD600,E-BX-1700,42.2 G,0,0,0.2 G,2.49,8h @ 60C,,,CE1-129-LW,655.0,65.5,0.1,1.0,54.8,1.15,7403.0,1.34,,
CE1,[V(+/-45)g/0c]S,43.1,Epoxy,Pro-set INF 114/211,Zoltek UD600,E-BX-1700,42.2 G,0,0,0.2 G,2.69,8h @ 60C,,,CE1-132-T,104.0,,,0.0254,11.4,3.33,1.0,0.0,,
CE1,[V(+/-45)g/0c]S,38.2,Epoxy,Pro-set INF 114/211,Zoltek UD600,E-BX-1700,42.2 G,0,0,0.2 G,3.04,8h @ 60C,,,CE1-134-T,93.0,,,0.0254,11.3,2.9,1.0,0.0,,
CE1,[V(+/-45)g/0c]S,41.0,Epoxy,Pro-set INF 114/211,Zoltek UD600,E-BX-1700,42.2 G,0,0,0.2 G,2.83,8h @ 60C,,,CE1-136-T,95.3,,,0.0254,10.3,3.84,1.0,0.0,,
CE1,[V(+/-45)g/0c]S,41.2,Epoxy,Pro-set INF 114/211,Zoltek UD600,E-BX-1700,42.2 G,0,0,0.2 G,2.82,8h @ 60C,,,CE1-138-T,99.0,,,0.0254,11.0,3.0,1.0,0.0,,
CE1,[V(+/-45)g/0c]S,43.1,Epoxy,Pro-set INF 114/211,Zoltek UD600,E-BX-1700,42.2 G,0,0,0.2 G,2.69,8h @ 60C,,,CE1-140-T,99.8,,,0.0254,9.38,2.8,1.0,0.0,,
CE1,[V(+/-45)g/0c]S,40.9,Epoxy,Pro-set INF 114/211,Zoltek UD600,E-BX-1700,42.2 G,0,0,0.2 G,2.84,8h @ 60C,,,CE1-141-TW,65.0,,,0.0254,8.41,1.8,1.0,1.2,,
CE1,[V(+/-45)g/0c]S,38.6,Epoxy,Pro-set INF 114/211,Zoltek UD600,E-BX-1700,42.2 G,0,0,0.2 G,3.01,8h @ 60C,,,CE1-143-TW,67.9,,,0.0254,7.86,1.9,1.0,1.2,,
CE1,[V(+/-45)g/0c]S,38.2,Epoxy,Pro-set INF 114/211,Zoltek UD600,E-BX-1700,42.2 G,0,0,0.2 G,3.04,8h @ 60C,,,CE1-145-TW,64.9,,,0.0254,8.34,1.8,1.0,1.2,,
CE1,[V(+/-45)g/0c]S,42.5,Epoxy,Pro-set INF 114/211,Zoltek UD600,E-BX-1700,42.2 G,0,0,0.2 G,2.73,8h @ 60C,,,CE1-147-TW,71.7,,,0.0254,9.03,1.9,1.0,1.2,,
CE1,[V(+/-45)g/0c]S,41.9,Epoxy,Pro-set INF 114/211,Zoltek UD600,E-BX-1700,42.2 G,0,0,0.2 G,2.77,8h @ 60C,,,CE1-149-TW,71.8,,,0.0254,9.03,1.8,1.0,1.2,,
CE2,[V(+/-45)g/0c]S,36.4,Epoxy,Pro-set INF 114/211,Vectorply CLA 1812,E-BX 1700,43.3 G,0,0,0.2 G,3.34,8h @ 60C,,,CE2-200-L,753.0,,,0.0254,54.0,1.49,1.0,0.0,,
CE2,[V(+/-45)g/0c]S,35.2,Epoxy,Pro-set INF 114/211,Vectorply CLA 1812,E-BX 1700,43.3 G,0,0,0.2 G,3.45,8h @ 60C,,,CE2-202-L,773.0,,,0.0254,52.7,1.47,1.0,0.0,,
CE2,[V(+/-45)g/0c]S,37.0,Epoxy,Pro-set INF 114/211,Vectorply CLA 1812,E-BX 1700,43.3 G,0,0,0.2 G,3.28,8h @ 60C,,,CE2-204-L,808.0,,,0.0254,52.4,1.42,1.0,0.0,,
CE2,[V(+/-45)g/0c]S,36.4,Epoxy,Pro-set INF 114/211,Vectorply CLA 1812,E-BX 1700,43.3 G,0,0,0.2 G,3.34,8h @ 60C,,,CE2-206-L,755.0,,,0.0254,59.4,1.26,1.0,0.0,,
CE2,[V(+/-45)g/0c]S,35.4,Epoxy,Pro-set INF 114/211,Vectorply CLA 1812,E-BX 1700,43.3 G,0,0,0.2 G,3.43,8h @ 60C,,,CE2-208-L,777.0,,,0.0254,55.4,1.34,1.0,0.0,,
